#SYM,AVAILABLE,REBATERATE,FEERATE
AIG,8300000,5.0700,0.2500
AIGFF,10000,-12.7799,18.0999
AIGI,2000,5.0700,0.2500
AIH,550000,-9.0672,14.3872
AIHS,500000,-57.6797,62.9997
AILIH,200,5.0700,0.2500
AILLI,200,5.0700,0.2500
AILLN,100,5.0700,0.2500
AILLP,700,5.0700,0.2500
AIM,1800000,2.6712,2.6488
AIMBU,10000,-4.9066,10.2266
AIMD,35000,-186.6841,192.0041
AIMFF,10000,2.8990,2.4210
AIMH,6000,5.0700,0.2500
AIMLF,150000,-60.5369,65.8569
AIN,400000,4.8487,0.4713
AINC,100000,-9.0040,14.3240
AINMF,1000,-1.7558,7.0758
AIO,55000,1.5066,3.8134
AIOM,5000,5.0700,0.2500
AIP,200000,4.4912,0.8288
AIPUY,15000,5.0700,0.2500
AIQ,85000,4.3704,0.9496
AIQUY,650000,3.4198,1.9002
AIR,350000,4.8855,0.4345
AIRC,1200000,4.9119,0.4081
AIRE,200000,-273.0411,278.3611
AIRG,150000,3.4486,1.8714
AIRI,200000,-8.1392,13.4592
AIRR,30000,-1.9385,7.2585
AIRS,25000,-3.0676,8.3876
AIRT,25000,0.0439,5.2761
AIRTP,15000,-23.4449,28.7649
AIRYY,3000,4.0665,1.2535
AISP,70000,-9.7780,15.0980
AISSF,500000,-13.5118,18.8318
AISXF,20000,-6.0066,11.3266
AIT,350000,4.9111,0.4089
AITA,1000,5.0700,0.2500
AITR,100000,-27.9598,33.2798
AITRU,400,-51.3199,56.6399
AITX,10000000,-49.8069,55.1269
AIU,40000,-37.0375,42.3575
AIV,1500000,4.5290,0.7910
AIVI,2000,-0.3464,5.6664
AIVL,25000,-1.0095,6.3295
AIVN,350000,5.0700,0.2500
AIXI,450000,-23.2653,28.5853
AIXN,15000,5.0700,0.2500
AIYY,55000,-64.4455,69.7655
AIZ,550000,4.9119,0.4081
AIZN,20000,-45.4111,50.7311
AJAC,20000,5.0700,0.2500
AJAN,30000,-45.0791,50.3991
AJBI,1400000,5.0700,0.2500
AJG,1700000,5.0700,0.2500
AJINY,1000,-3.6918,9.0118
AJOY,100000,5.0700,0.2500
AJX,1000000,4.8799,0.4401
AJXA,200000,0.5168,4.8032
AKA,500,-14.0336,19.3536
AKAM,2600000,5.0700,0.2500
AKAN,250000,-173.4611,178.7811
AKBA,4100000,4.4364,0.8836
AKBTY,150000,-16.4971,21.8171
AKEMF,200000,-5.6529,10.9729
AKESQ,300000,5.0700,0.2500
AKGC,700000,5.0700,0.2500
AKLI,250000,-13.3120,18.6320
AKO.A,35000,0.1000,5.2200
